Indices,Distance,Amplitude,Flag,X,Y,Z,Timestamp
3,0.47787476,439.2735,1,0.4753111,0.04943306,0.0,987837
2,0.42578125,340.62244,1,0.40537044,0.13024777,0.0,987837
1,0.5217743,509.94565,9,0.453286,0.2584187,0.0,987837
0,0.5915985,520.73254,9,0.4426532,0.39248812,0.0,987837
7,0.22332764,563.97125,9,0.167101,-0.14816374,0.0,988046
6,0.8026123,516.1019,9,0.6972611,-0.39750913,0.0,988046
5,0.7619324,433.22723,1,0.72540736,-0.2330774,0.0,988046
4,0.8100891,329.30383,1,0.8057433,-0.08379849,0.0,988046
3,0.5715027,487.40894,9,0.56843674,0.059118263,0.0,988046
2,0.5120697,387.74722,1,0.48752245,0.15664367,0.0,988046
1,0.47955322,523.6994,9,0.41660687,0.23750792,0.0,988046
0,0.62008667,531.3537,9,0.463969,0.41138822,0.0,988046
7,1.3977814,166.49185,1,1.0458654,-0.9273394,0.0,988257
6,1.4597626,210.76631,1,1.2681535,-0.7229754,0.0,988257
5,0.8222656,202.51828,1,0.7828484,-0.25153354,0.0,988257
4,0.7483368,267.14883,1,0.7443222,-0.07741061,0.0,988257
3,0.49375916,521.6981,9,0.4911103,0.051076196,0.0,988257
2,0.4342041,521.63464,9,0.41338953,0.13282435,0.0,988257
1,0.4330902,530.40753,9,0.3762426,0.21449623,0.0,988257
0,0.53874207,539.6218,9,0.4031043,0.35742122,0.0,988257
7,0.9371338,18.904715,64,0.7011939,-0.6217289,0.0,988466
7,4.7622375,39.843697,64,3.5632608,-3.159443,0.0,988466
6,4.206299,44.454185,64,3.6541784,-2.08325,0.0,988466
5,3.7335815,59.72776,64,3.5546036,-1.1421139,0.0,988466
4,3.0007782,106.48436,1,2.98468,-0.31041113,0.0,988466
3,1.4877625,360.48932,1,1.4797812,0.15389943,0.0,988466
2,1.059555,286.28958,1,1.0087628,0.3241211,0.0,988466
1,0.45910645,424.1464,1,0.39884394,0.22738126,0.0,988466
0,0.5222626,567.7433,9,0.3907738,0.34648812,0.0,988466
7,0.9212036,147.55562,1,0.68927443,-0.6111602,0.0,988673
6,3.2785645,71.268845,1,2.8482187,-1.6237718,0.0,988673
5,3.0111847,92.800125,1,2.8668365,-0.9211305,0.0,988673
4,2.9470978,154.49911,1,2.9312875,-0.30485824,0.0,988673
3,2.3687134,215.83907,1,2.356006,0.24502811,0.0,988673
2,1.1737976,291.31458,1,1.1175289,0.35906824,0.0,988673
1,0.56869507,489.1866,9,0.4940479,0.28165713,0.0,988673
