Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
16870065,7,23.4,2.35,2.04,-1.16,0,1
16870065,6,26.94,2.21,2.11,-0.68,0,1
16870065,5,42.31,2.05,2.04,-0.21,0,1
16870065,4,43.13,2.06,2.05,0.21,0,1
16870065,3,25.11,2.19,2.08,0.67,0,1
16870065,2,17.25,2.27,1.98,1.13,0,1
16870065,1,13.09,2.74,2.05,1.82,0,1
16870274,8,19.43,2.76,2.07,-1.83,0,1
16870274,7,23.41,2.35,2.04,-1.16,0,1
16870274,6,26.98,2.21,2.1,-0.68,0,1
16870274,5,42.3,2.05,2.04,-0.21,0,1
16870274,4,43.15,2.06,2.05,0.21,0,1
16870274,3,25.11,2.19,2.08,0.67,0,1
16870274,2,17.18,2.27,1.98,1.13,0,1
16870274,1,12.82,2.74,2.05,1.82,0,1
16870482,8,19.37,2.76,2.07,-1.83,0,1
16870482,7,23.43,2.35,2.04,-1.16,0,1
16870482,6,26.96,2.21,2.1,-0.68,0,1
16870482,5,42.33,2.05,2.04,-0.21,0,1
16870482,4,43.07,2.06,2.05,0.21,0,1
16870482,3,25.09,2.19,2.08,0.67,0,1
16870482,2,17.21,2.27,1.98,1.13,0,1
16870482,1,12.83,2.74,2.05,1.82,0,1
16870692,8,19.37,2.76,2.07,-1.83,0,1
16870692,7,23.34,2.35,2.04,-1.16,0,1
16870692,6,26.99,2.21,2.1,-0.68,0,1
16870692,5,42.36,2.05,2.04,-0.21,0,1
16870692,4,43.15,2.06,2.05,0.21,0,1
16870692,3,25.09,2.19,2.08,0.67,0,1
16870692,2,17.24,2.27,1.98,1.13,0,1
16870692,1,12.86,2.74,2.05,1.82,0,1
16870901,8,19.4,2.76,2.07,-1.83,0,1
16870901,7,23.35,2.35,2.04,-1.16,0,1
16870901,6,26.92,2.21,2.1,-0.68,0,1
16870901,5,42.36,2.05,2.04,-0.21,0,1
16870901,4,43.08,2.06,2.05,0.21,0,1
16870901,3,25.12,2.19,2.08,0.67,0,1
16870901,2,17.2,2.27,1.97,1.13,0,1
16870901,1,12.97,2.74,2.05,1.82,0,1
16871110,8,19.4,2.76,2.07,-1.83,0,1
16871110,7,23.42,2.35,2.04,-1.16,0,1
16871110,6,27,2.21,2.1,-0.68,0,1
16871110,5,42.35,2.05,2.04,-0.21,0,1
16871110,4,43.15,2.06,2.05,0.21,0,1
16871110,3,25.13,2.19,2.08,0.67,0,1
16871110,2,17.18,2.27,1.98,1.13,0,1
16871110,1,12.91,2.75,2.06,1.83,0,1
16871319,8,19.43,2.76,2.07,-1.83,0,1
16871319,7,23.41,2.35,2.04,-1.16,0,1
16871319,6,26.92,2.21,2.1,-0.68,0,1
16871319,5,42.29,2.05,2.04,-0.21,0,1
16871319,4,43.15,2.06,2.05,0.21,0,1
16871319,3,25.15,2.19,2.08,0.67,0,1
16871319,2,17.2,2.27,1.98,1.13,0,1
16871319,1,13.07,2.75,2.06,1.82,0,1
16871527,8,19.41,2.76,2.07,-1.83,0,1
16871527,7,23.37,2.35,2.04,-1.16,0,1
16871527,6,26.96,2.21,2.1,-0.68,0,1
16871527,5,42.3,2.05,2.04,-0.21,0,1
16871527,4,43.11,2.06,2.05,0.21,0,1
16871527,3,25.12,2.19,2.08,0.67,0,1
16871527,2,17.2,2.27,1.98,1.13,0,1
16871527,1,12.89,2.75,2.06,1.82,0,1
16871735,8,19.37,2.76,2.07,-1.83,0,1
16871735,7,23.39,2.35,2.04,-1.16,0,1
16871735,6,26.98,2.21,2.1,-0.68,0,1
16871735,5,42.39,2.05,2.04,-0.21,0,1
16871735,4,43.12,2.06,2.05,0.21,0,1
16871735,3,25.05,2.19,2.08,0.67,0,1
16871735,2,17.17,2.27,1.98,1.13,0,1
16871735,1,12.85,2.75,2.06,1.82,0,1
16871946,8,19.43,2.76,2.07,-1.83,0,1
16871946,7,23.42,2.35,2.04,-1.16,0,1
16871946,6,26.99,2.21,2.1,-0.68,0,1
16871946,5,42.33,2.05,2.04,-0.21,0,1
16871946,4,43.14,2.06,2.05,0.21,0,1
16871946,3,25.16,2.19,2.08,0.67,0,1
16871946,2,17.17,2.27,1.97,1.13,0,1
16871946,1,12.97,2.74,2.05,1.82,0,1
16872155,8,19.4,2.76,2.07,-1.83,0,1
16872155,7,23.42,2.35,2.04,-1.16,0,1
16872155,6,26.93,2.21,2.1,-0.68,0,1
16872155,5,42.34,2.05,2.04,-0.21,0,1
16872155,4,43.16,2.06,2.05,0.21,0,1
16872155,3,25.13,2.19,2.08,0.67,0,1
16872155,2,17.18,2.27,1.97,1.13,0,1
16872155,1,12.76,2.74,2.05,1.82,0,1
16872364,8,19.39,2.76,2.07,-1.83,0,1
16872364,7,23.43,2.35,2.04,-1.16,0,1
16872364,6,26.99,2.21,2.1,-0.68,0,1
16872364,5,42.33,2.05,2.04,-0.21,0,1
16872364,4,43.15,2.06,2.05,0.21,0,1
16872364,3,25.1,2.19,2.08,0.67,0,1
16872364,2,17.21,2.27,1.97,1.13,0,1
16872364,1,13.05,2.75,2.06,1.82,0,1
16872571,8,19.39,2.76,2.07,-1.83,0,1
16872571,7,23.34,2.35,2.04,-1.16,0,1
16872571,6,27,2.21,2.1,-0.68,0,1
16872571,5,42.36,2.05,2.04,-0.21,0,1
16872571,4,43.15,2.06,2.05,0.21,0,1
16872571,3,25.16,2.19,2.08,0.67,0,1
16872571,2,17.24,2.27,1.98,1.13,0,1
16872571,1,13.03,2.74,2.05,1.82,0,1
16872782,8,19.42,2.76,2.07,-1.83,0,1
16872782,7,23.41,2.35,2.04,-1.16,0,1
16872782,6,26.9,2.21,2.1,-0.68,0,1
16872782,5,42.31,2.05,2.04,-0.21,0,1
16872782,4,43.15,2.06,2.05,0.21,0,1
16872782,3,25.15,2.19,2.08,0.67,0,1
16872782,2,17.2,2.27,1.98,1.13,0,1
16872782,1,12.9,2.75,2.05,1.82,0,1
16872991,8,19.4,2.76,2.07,-1.83,0,1
16872991,7,23.44,2.35,2.04,-1.16,0,1
16872991,6,26.98,2.21,2.1,-0.68,0,1
16872991,5,42.29,2.05,2.04,-0.21,0,1
16872991,4,43.13,2.06,2.05,0.21,0,1
16872991,3,25.14,2.19,2.08,0.67,0,1
16872991,2,17.25,2.28,1.98,1.13,0,1
16872991,1,12.82,2.75,2.06,1.83,0,1
16873200,8,19.46,2.76,2.07,-1.83,0,1
16873200,7,23.39,2.35,2.04,-1.16,0,1
16873200,6,26.95,2.21,2.1,-0.68,0,1
16873200,5,42.34,2.05,2.04,-0.21,0,1
16873200,4,43.11,2.06,2.05,0.21,0,1
16873200,3,25.14,2.19,2.08,0.67,0,1
16873200,2,17.22,2.28,1.98,1.13,0,1
16873200,1,13,2.75,2.06,1.82,0,1
